Id borradores,Fecha,Para,Contrato,Proceso,Frente,Descripcion,Resonde a com,Recibidas,Tanexos,Fecha Com,Enviadas
a1111111,26/02/2025,CYS,Contrato CW 276532,Supervisión socioambiental,Sin Frente,Soportes charlas para atender el Requerimiento No. 72 del Acta de Oralidad 635,Si,CYS-CW276532-PHI-01186,No,2/27/2025,INT-OC-CYS-291/25
a1111112,26/02/2025,CYS,Contrato CW 276532,Supervisión socioambiental,Sin Frente,Entrega de plántulas producidas en el vivero del Consorcio CYS al vivero El Palmar de EPM,Si,CYS-CW276532-PHI-01189,No,2/27/2025,INT-OC-CYS-292/25
a1111113,26/02/2025,CYS,Contrato CW 276532,Supervisión contractual,Sin Frente,Informe técnico mensual de enero de 2025,Si,CYS-CW276532-PHI-01159,No,2/27/2025,INT-OC-CYS-293/25
a1111114,26/02/2025,CYS,Contrato CW 276532,Supervisión contractual,Sin Frente,Modificación plazo de los hitos 1 y 2 del contrato,Si,CYS-CW276532-PHI-01106 y CYS-CW276532-PHI-01138,No,2/27/2025,INT-OC-CYS-294/25
a1111115,26/02/2025,CYS,Contrato CW 276532,Supervisión técnica,Casa de máquinas y obras anexas,Restitución tensores afectados en machón entre Casa de Máquinas y Almenara 2,Si,D-PHI-COP-0105-2025,Si,2/27/2025,INT-OC-CYS-295/25
a1111116,26/02/2025,CYS,Contrato CW 276532,Supervisión técnica,Casa de máquinas y obras anexas,"Rehabilitación en casa de máquinas sur, Almenara 2, Galería de barras No.6 y Galería D Sur – Oficialización instructivos de campo",Si,D-PHI-COP-0097-2025,Si,2/27/2025,INT-OC-CYS-296/25
a1111117,26/02/2025,CYS,Contrato CW 276532,Supervisión de costos,Sin Frente,Sobrecostos transporte de cemento y combustible por cierre de vía,Si,CYS-CW276532-PHI-01069,No,2/27/2025,INT-OC-CYS-297/25
77efea8e,26/02/2025,CYS,Contrato CW 276532,Supervisión técnica,Consolidación y conglomeración macizo perturbado zona sur,Procedimiento para inyecciones de consolidación pantalla corta flujo,Si,CYS-CW276532-PHI-01194,No,,
07dd85d0,26/02/2025,CYS,Contrato CW 276532,Supervisión socioambiental,Túnel de acceso y galerías de construcción de la central,Desviaciones ambientales manejo de lechada y ARnD en frente de obra Galería 219,Si,CYS-CW276532-PHI-01192,No,2/28/2025,INT-OC-CYS-303/25
bb68ae67,26/02/2025,CYS,Contrato CW 276532,Supervisión técnica,Sin Frente,Esquema de drenaje subhorizontales - Talud inferior vía acceso a campamento Villa Luz,Si,NC-044-25,Si,3/3/2025,INT-OC-CYS-326/25
76857089,26/02/2025,CYS,Contrato CW 276532,Supervisión técnica,Descarga intermedia,Planos taller de refuerzo - bloque de anclaje y tapa - Sobre micropilotes,Si,CYS-CW276532-PHI-01193,No,3/28/2025,INT-OC-CYS-513/25
7e816f19,26/02/2025,CYS,Contrato CW 276532,Supervisión técnica,Casa de máquinas y obras anexas,Entrega de planos para construcción. Acabados arquitectónicos zona sur,Si,D-PHI-CCE-ADM-1-C6631,No,,
